st,type
.ACTION slaps 11-09-teensUser122 around a bit with a large trout.,Other
me too 10-19-adultsUser35,Statement
How did you do and how did it help?,whQuestion
u can throw yourself at me 11-09-20sUser156,Statement
hi 10-24-40sUser12 hugss,Other
PART,Other
no i only eat cookies... ,Other
hi 11-08-40sUser57,Other
what's up dork?,whQuestion
Any ladies wanna chat with 24/m,ynQuestion
"And actually, it's spelled lamborghini",Statement
i killeded 11-08-20sUser65,Statement
.ACTION says thanks to 11-08-40sUser18 and hello.,Other
nut uh    you were tha fillin in the 10-19-adultsUser28 sammich,Other
hello,Other
ditto (((10-24-40sUser21)))),Other
not me,Other
that's y i'm here.....lol,Statement
worked for someone i know ,Statement
ok,Other
hello,Other
11-09-40sUser30 11-09-40sUser30 11-09-40sUser30 of the jungle,Statement
lol....who's 11-06-adultsUser45?,whQuestion
When did I paste!?,whQuestion
"And no, its Ultimate Fighting",Other
i think so 11-08-40sUser23,Statement
JOIN,Other
how many of you tried myspace for dating..i hate to promoter other sites..i hate yahoo but now there is alternatives..,Statement
who is Judy,whQuestion
PART,Other
JOIN,Other
"frankly i can, but im a decent person and i only do with people im really close with",Statement
I think I'm hungry again.,Statement
PART,Other
come on give a chance please,Statement
PART,Other
Hi all does anyone want to chat with a 23 f from ontario canada,ynQuestion
I'm thinking wisconsin,Statement
Why are you so late?,whQuestion
Sup Joe.,Other
my soul is still untouched.,Statement
Please summarize your supervisory experience in previous positions in terms of the number of people you supervised and your level of responsibility,whQuestion
welcome to black paradis,Other
.ACTION bites her lip.,Other
hell..i just found out about that Downy ball...,Statement
.ACTION turns up the music as 11-09-20sUser114 dances with 11-09-20sUser89..,Other
.ACTION is going to get something to munch on.,Other
PART,Other
"wow. twice, I'm impressed.",Statement
PART,Other
wb 10-19-40sUser34,Other
ok 10-24-40sUser12 tell the the time,Statement
one two three,Statement
pc is lacking as a gaming platform.,Statement
i'll giva ya 1.98,Statement
10-19-adultsUser16  they r not gay,Other
hehehehe,Other
Whereabouts in kent?,whQuestion
Wow.. full house here on a Friday afternoon! *VBS*,Other
hi 10-19-40sUser19 ,Other
11-08-teensUser141 hello,Other
lmao 10-19-30sUser17,Other
10-19-30sUser31,Other
LOL ,Other
JOIN,Other
hi 10-19-40sUser27,Other
who wants to chat?,whQuestion
PART,Other
hi folks...ty,Other
What did you do?,whQuestion
PART,Other
JOIN,Other
yes,Other
with some cherry on toop of yall,Other
any lady like to talk,ynQuestion
PART,Other
11-09-40sUser30!!!!!!!!!!!!!!!!!!!!!!,Other
guys pm me!!!!!!!!!,Other
you must love punishment,Statement
i guess,Statement
JOIN,Other
PART,Other
.ACTION = 10-26-teensUser58.,Other
"did, no takers",Statement
he needs to do !hump,Statement
that's why society still is a stinky husteling mess after teo million years of darwin,Statement
.ACTION hates no one.,Other
lol,Other
lmao,Other
nm u?,whQuestion
11-09-20sUser41?,ynQuestion
Amy Lee's new shit is crap,Statement
hi 10-24-40sUser48 and 10-24-40sUser49,Other
yea...im about to watch futurama...,Statement
PART,Other
PART,Other
"10-24-40sUser24, good to see ya",Statement
they are,Other
Give an example of a time when you could not participate in a discussion or could not finish a task because you did not have enough information.,whQuestion
i didnts say anithing wrong...,Statement
PART,Other
hi 11-09-40sUser35,Other
"it's the matrix, out of wack",Statement
Drive in? I havent been to one of those since I was a kid,Statement
Can you finish the project by tomorrow?,whQuestion
hi 11-08-40sUser30,Other
"hahah 10-24-40sUser33 thank you,  have taken the comp over to stop the kids getting in touch with friends for the night",Statement
PART,Other
They should have a chat for just bored people,Statement
10-19-adultsUser36,Statement
PART,Other
11-09-adultsUser27!,Other
JOIN,Other
did you get trapped in a mouse thingy,ynQuestion
.ACTION peeks in.,Other
(((10-24-40sUser34)))),Other
10-24-40sUser41 you calling me a redneck?,ynQuestion
.ACTION waves hi to room.,Other
bbl im gonna play a game with my moms,Other
.ACTION peeks in and says some hellos.,Other
are u kidding??!!,ynQuestion
" .Aiken, South Carolina. -- 6.  6:38 PM EST",Other
beeeeehave,Statement
waaa!,Other
mono? what the heck is that,whQuestion
PART,Other
suppose to be sunny and 75 tomorrow,Statement
nah.. not really,Other
i like wearin his boots :),Statement
PART,Other
PART,Other
"I'll take one, please.",Statement
:10-26-teensUser122!10-26-teensUser122@10-26-teensUser122 MODE #14-19teens -o 10-26-teensUser96,Other
Im glad he's back.,Statement
JOIN,Other
"on second thought, DON""T sing it, 11-09-40sUser52",Other
JOIN,Other
seminilla,Statement
lol,Other
JOIN,Other
ok I'm gonna log out and in once,Statement
yes,Other
.ACTION .Liam's .13cute.-ass MP3 player. This is what I'm listening to; ..Soilwork - Like The Average Stalker...,Other
JOIN,Other
you read too many horror scopes,Statement
*shakes head*,Statement
JOIN,Other
hey 10-19-40sUser52?,Other
PART,Other
i love myself,Statement
deaths comin 4 ya,Statement
dyslexic 11-09-40sUser39?,ynQuestion
raaaaaaaaaaaaaaaaaaaaaaaaaaaaa,Other
"no profile no pm, thats my rule",Statement
lol....,Other
lol 11-09-40sUser18,Other
awwww,Other
you tabbed wrong!!!!!!,Other
10-19-20sUser141... get outta my PM Box.. didnt ya hear!!!!,Other
uh oh,Statement
PART,Other
thats why im drinking away the withdrawal,Statement
.ACTION rubs her belly.,Other
.ACTION wants a lil grrl.,Other
how can you give it to someone good when all you do is type and the other just reads?,whQuestion
JOIN,Other
i got ,Statement
wb 11-09-40sUser30,Other
heyyyyyy,Other
just kidding.....,Statement
11-09-40sUser22  they  were bred special to kill the water rats  on Fishers island,Statement
JOIN,Other
"Hello 10-19-adultsUser24 , welcome to #talkcity_adults ! .4Please ask in the main room before Private Messaging others!. You can find our rules at http://forums.talkcity.com/tc-adults/start Thanks for joining us!",Other
.ACTION is 10-19-30sUser10,Other
hi 10-19-40sUser43,Other
that sounds painful,Statement
thats officer limp piece of bread 10-19-adultsUser28,Statement
oh glorious,Statement
boo.,Other
JOIN,Other
JOIN,Other
lmao 10-24-40sUser13,Other
riiiiight!,Other
.ACTION uses blue cheer in laundry.,Other
hey any uk girls her?,ynQuestion
JOIN,Other
hiya barbie hi ken!,Other
6'6 185 pounds very fot swim everyday 19 m fl short brwn hair pm me,Statement
down by the riverside there's got to be a better ride than what you got planned...,Statement
he's the prime minister of hell google it,Statement
what is the conversion about..?any guide for me?,whQuestion
"Yes, 10-19-adultsUser32. .",Other
yep..today is my payday...and thats mothers day..this mother gets this ..that mother gets that and all the other mothers get the rest,Other
PART,Other
hello 10-24-40sUser19!,Other
!td,Other
JOIN,Other
my grilfriend,Statement
"lol, true",Other
lol,Other
JOIN,Other
welcome ,Other
heyy 10-24-40sUser37  hiya ,Other
who u gonna kill 11-08-teensUser119?,whQuestion
"Not so many O's, 11-09-40sUser34.....looks like an open mouth and that scares me with 11-09-40sUser52 around",Statement
11-08-adultsUser70 probably looks like death,Statement
PART,Other
11-06-adultsUser88 - did we lose ya?,ynQuestion
PART,Other
hello,Other
being alone,Statement
Am I your friend?,ynQuestion
JOIN,Other
JOIN,Other
I saw my name,Statement
hi everybody!!...anyone wanna chat...17 f here,Other
!20,Other
JOIN,Other
JOIN,Other
PART,Other
hey 11-08-adultsUser95,Other
PART,Other
no barbie,Other
hi 11-08-adultsUser30,Other
wb 10-24-40sUser37,Other
hi story?,ynQuestion
Where did you leave my jacket?,whQuestion
PART,Other
And my boss wore red all the time,Statement
PART,Other
PART,Other
any female wanna chat with an 19 m md,ynQuestion
he's in PM land now though,Statement
PART,Other
.ACTION gagas.,Other
its k,Statement
girl jerks??,ynQuestion
lol ,Other
JOIN,Other
I feel your pain,Other
JOIN,Other
How do people react when you ask them questions?,whQuestion
JOIN,Other
shouldn't dis the future wife,Statement
does any girls won chat?,ynQuestion
are you a male?,ynQuestion
 lol ,Other
ty,Statement
Niceeeee.,Statement
JOIN,Other
lol yes!!,Other
i got fired from dunkin donuts because i was jacking off in the kitchen,Statement
any hot guys wanna chat 22-30,ynQuestion
LoL,Other
10-19-20sUser121 how near kc ?,whQuestion
ok nuff religion lol,Statement
k nana,Other
how mean 11-08-adultsUser28,Statement
11-08-20sUser20,Other
.ACTION sings ass up face downnnnnn.,Other
"it was cute..BUT now I got that tune""rolling rolling rolling....stuck in my head...sigh",Statement
why not?? girls are nice honey!!!,whQuestion
PART,Other
???,whQuestion
we go from there i spose,Statement
right ...lol,Other
"It pisses me off, I can't find my cam so I can be entertaining",Statement
 .Temp.  -6F/-21C    .Humidity:. 85%    ,Other
PART,Other
thats an oxymoron..oh wait I know how thats facilitated,Statement
PART,Other
"oh yeah, 10-19-adultsUser32 the sammich",Statement
lol 10-24-40sUser19,Other
PART,Other
yeas,Other
oh well,Statement
PART,Other
JOIN,Other
ty 10-19-40sUser52,Statement
JOIN,Other
lmao@10-24-40sUser53,Other
fitness my asss.... thats the part i felt most after that workout,Statement
PART,Other
i had a very intersting blueberry martini today... first time... liked it... ,Statement
 :tongue: ,Other
.ACTION .Mp3. ..(..Bone Thugs N Harmony - Days Of Our Lives .-...)... - S.M.R.<3.,Other
.ACTION talks about masturbating while depressed.,Other
JOIN,Other
JOIN,Other
sing away 10-19-40sUser20 lol,Statement
nothing much...lol,Statement
PART,Other
how come everything tastes like chicken but sometimes chicken doesnt taste like chcken,whQuestion
*hugs everyone...lol,Other
no one ever gets me naked,Statement
ahahah 10-19-20sUser7!!,Other
damn that's fair enough,Statement
looking it over carefully....,Statement
lol,Other
can't help u there...lol,Statement
lol...,Other
who wants to talk,whQuestion
"not that bad , 10-24-40sUser35 ",ynQuestion
so 10-19-30sUser11 how was youer day,whQuestion
11-09-20sUser34 you dirrrrty girl,Statement
& a head between her legs,Other
When are you leaving?,whQuestion
hey que pasa,whQuestion
.ACTION is backfrontsidewaysandallaroundtheworld.,Other
took off the tennies awhile ago,Statement
it black here ,Statement
"You gonna kick me, 11-08-teensUser111?",ynQuestion
10-19-30sUser17 looks over to sneak a peek at 10-19-30sUser9,Statement
-,Other
=] Hi 11-09-20sUser114,Other
I wanna live there someday,Statement
how is everyone,whQuestion
hi,Other
PART,Other
"11-09-teensUser819(11-09-teensUser819@11-09-teensUser819 Last seen: 2 days, 1 hour, 12 minutes ago.",Other
hi 10-19-40sUser16,Other
JOIN,Other
PART,Other
brb.. samn sunset in my eyes,Other
tc 10-24-40sUser26,Other
awww,Other
ok easy one who sings bad day?,whQuestion
"gentlemen...let""s be nce...there are ladies in the room....",Statement
PART,Other
JOIN,Other
dont fck with the torah 11-08-adultsUser3,Other
kawing i am 21 years old and still a virgin male wanna fuck,Statement
i feel bad now.,Statement
"Describe the most significant written document, report, or presentation that you’ve completed.",whQuestion
wb 10-19-adultsUser61,Other
PART,Other
PART,Other
JOIN,Other
Anyone PM in this room?,ynQuestion
im a HUGE phone perv,Other
yes,Other
ty,Statement
MODE #talkcity_adults +o 11-08-adultsUser132,Other
PART,Other
he orders an ice cream........,Statement
PART,Other
.ACTION pokes 10-19-adultsUser1.,Other
hi 11-08-teensUser128 <333,Other
there's no place like hom.,Statement
hix?,ynQuestion
PART,Other
watches eyes roll by,Statement
I'd of wanted to pork 11-06-adultsUser105 if she always wasn't proked,Statement
PART,Other
"lost, maybe, forgotten, sure",Statement
NICK :11-09-adultsUser22,Other
JRZ sorry about that,Other
lol,Other
JOIN,Other
PART,Other
hi all,Other
Aberdeen MD and Edgewood MD????,ynQuestion
like u 11-09-40sUser48?,ynQuestion
ty,Statement
<empty>,Other
JOIN,Other
JOIN,Other
I know...I watch Dr. Drew,Statement
PART,Other
is not on any meds,Statement
hey ladies,Other
how many of you were attracted to the same sex,whQuestion
this place just bied and burryed it self,Statement
dang it.......yall quit movin so much.......ima tryin ta perv here,Statement
ohhh ,Statement
.ACTION this song has been played .13 0 times.. .this song lasts47. minutes/seconds. it's my Music.,Other
ne ladies wanna chat to an 18/m/england uk pm me,Statement
PART,Other
Hi 11-09-40sUser15,Other
you gonna be ok 11-09-adultsUser27?,ynQuestion
Doing great 10-19-40sUser43 -- thanks for asking -- can you believe this weather -- Yeah it's fall !!!,Other
That's okay.,Statement
lol 10-19-30sUser31... he must be,Statement
Ive seen two fishercats near here tooooooooooo,Statement
I didnt think he would come back,Statement
girls pm me please,Statement
w/b 10-19-30sUser31 ,Other
sup room 20 m nc lookin for a lady freind,Statement
No myspace talk.,Statement
PART,Other
lol 10-24-40sUser34,Other
still in day clothes..geesh,Statement
.ACTION watches 11-08-20sUser110 hug baby boy and cop a double feel...,Other
PART,Other
Does Mike live with you?,ynQuestion
wb 11-06-adultsUser16,Other
hahaha...this room is goofy,Statement
Like?,whQuestion
11-09-40sUser22  they are like  a tazzmaniane ? devil ,Statement
JOIN,Other
PART,Other
JOIN,Other
thanks 11-09-adultsUser27 and 11-09-adultsUser44 :),Statement
LOL my pic would clear this room for real LMAO,Statement
hey 10-19-40sUser49,Other
hi,Other
i am not happy about that marriage though,Statement
im the same busy busy,Statement
good u 11-08-20sUser52?,whQuestion
PART,Other
Describe the procedures you have used to keep track of things that require your attention.,whQuestion
Oops.,Statement
lol,Other
the roof the roof the roof is on fire,Statement
hey even,Other
right on,Other
who's horny ?,whQuestion
haha,Other
room,Statement
any girls want to talk dirty,ynQuestion
ahhhh............. What a Coincidence ;),Statement
JOIN,Other
11-08-20sUser42!,Other
PART,Other
I see it,Statement
hey 11-09-20sUser156,Other
but winds seem to be hitting about 50-60kmph,Other
My sister and b in l live there,Statement
PART,Other
Hi Everyone..:)    ,Other
JOIN,Other
no way. pc games graphics rule,Statement
LOL ,Other
can I ask where ya all are from .....im here in kentucky ,ynQuestion
sldfjlsdf,Other
JOIN,Other
did u take it 11-08-adultsUser8,ynQuestion
first time one chat!,Other
hi all,Other
hey 11-06-adultsUser41,Other
11-09-teensUser57,Statement
10-24-40sUser50,Statement
"oh good, 10-24-40sUser41, I don;t hafta worry about you then",Statement
ohhhh 11-06-adultsUser60 i wanna Help.....pweeze,Statement
lol 11-09-40sUser48,Other
How strictly do you believe your coworkers normally follow the rules?,whQuestion
.ACTION Whispering Reminder: First ask in the room before whispering a chatter - unless the person has already ok'd the PM ~ Thanks..,Other
